# era_map.tsv — v4 — NORM DECISION 2026-07-14: target = 2009 imla standard (Milletler Til-Yeziq Komiteti lughiti)
# Direction: contemporary web-raised ىيى forms -> 2009-standard ىيە forms (variant<TAB>standard)
# Built label-free: direction derived from characters, arbitrated per-word against imla_dict_2009.md
# (163 dict-confirmed, 1082 class-rule default, 5 dict exceptions mapped toward ى)
# v4.1: ـىيەت-possessive class fixed — alternation followed by ت+vowel raises (جەمئىيىتى، مۇۋەپپەقىيىتى per dict)
ئېكىسپېدىتسىيىچىلىرى	ئېكىسپېدىتسىيەچىلىرى
ئىسرائىلىيىلىكلەرنىڭ	ئىسرائىلىيەلىكلەرنىڭ
دېموكراتىيىلىشىشىنى	دېموكراتىيەلىشىشىنى
ئېكسپىلاتاتسىيىسىگە	ئېكسپىلاتاتسىيەسىگە
ئىسرائىلىيىلىكلەرگە	ئىسرائىلىيەلىكلەرگە
دېموكراتىيىلەشتۈرۈش	دېموكراتىيەلەشتۈرۈش
ئېكىسپېدىتسىيىسىنىڭ	ئېكىسپېدىتسىيەسىنىڭ
ئېكىسپېدىتسىيىچىنىڭ	ئېكىسپېدىتسىيەچىنىڭ
گىرېتسىيىلىكلەرنىڭ	گىرېتسىيەلىكلەرنىڭ
ئىدېئولوگىيىسىدىكى	ئىدېئولوگىيەسىدىكى
گېرمانىيىلىكلەرنىڭ	گېرمانىيەلىكلەرنىڭ
ئىدېئولوگىيىلەرنىڭ	ئىدېئولوگىيەلەرنىڭ
ئوپېراتسىيىلىرىنىڭ	ئوپېراتسىيەلىرىنىڭ
ئىنتوناتسىيىسىدىكى	ئىنتوناتسىيەسىدىكى
ئېكسپېدىتسىيىچىلەر	ئېكسپېدىتسىيەچىلەر
ئەرمىنىيىلىكلەرنىڭ	ئەرمىنىيەلىكلەرنىڭ
ئىسپانىيىلىكلەرنىڭ	ئىسپانىيەلىكلەرنىڭ
ئىستراتېگىيىچىلىرى	ئىستراتېگىيەچىلىرى
