# imla_loan_map.tsv — 2009/2011 imla LOANWORD-SHAPE reform
# Rules per Uyghur_Imla_Qaidisi SS V.3 (hiatus) and SS IX.2.1-4
# (initial clusters), arbitrated word-by-word against the 2011
# izahliq lughiti and the 6-volume izahliq lughet.
# The dictionary outranks the rule prose. The example word-lists
# inside the qaidisi carry transcription noise and were NOT used.
# SEPARATE FROM era_map.tsv. ORDER: calque -> era -> imla_loan.
# 873 rules (769 + 95 on 2026-08-17 + 9 on 2026-08-18) | classes: {'B': 195, 'A3': 162, 'A': 193, 'F': 71, 'W': 18, 'A4': 82, 'A?': 26, 'A2': 17, 'SEED': 9}
# variant<TAB>standard
ئىنتېرناتسىئونالىزملىق	ئىنتېرناتسىيونالىزملىق
ئىنتېرناتسىئونالىستلار	ئىنتېرناتسىيونالىستلار
ئاپتوبىبلىئوگرافىيە	ئاپتوبىبلىيوگرافىيە
ئىنتېرناتسىئونالىزم	ئىنتېرناتسىيونالىزم
ئىنتېرناتسىئونالنى	ئىنتېرناتسىيونالنى
بىئوكىلىماتولوگىيە	بىيوكىلىماتولوگىيە
بىئومېتېئورولوگىيە	بىيومېتېئورولوگىيە
كرىستاللانمايدىغان	كىرىستاللانمايدىغان
ئابستراكتسىئونىزم	ئابستراكتسىيونىزم
ئىممۇنوبىئولوگىيە	ئىممۇنوبىيولوگىيە
دىففېرېنسىئاتسىيە	دىففېرېنسىياتسىيە
رادىئوفوتوگرافىيە	رادىيوفوتوگرافىيە
رادىئولاشتۇرۇلماق	رادىيولاشتۇرۇلماق
پرىستاندىكىلەرنىڭ	پىرىستاندىكىلەرنىڭ
گىستوفىزىئولوگىيە	گىستوفىزىيولوگىيە
ئىنتېرناتسىئونال	ئىنتېرناتسىيونال
بىئوئاسترونومىيە	بىيوئاسترونومىيە
خرىستىئانلىرىنىڭ	خىرىستىيانلىرىنىڭ
خىرىستىئانلارنىڭ	خىرىستىيانلارنىڭ
دىئالېكتىكىچىلار	دىيالېكتىكىچىلار
رادىئوتېلېگرامما	رادىيوتېلېگرامما
رادىئولاشتۇرۇلدى	رادىيولاشتۇرۇلدى
كرىستاللوگرافىيە	كىرىستاللوگرافىيە
پروگراممىلىرىنىڭ	پىروگراممىلىرىنىڭ
ئاسسوتسىئاتسىيە	ئاسسوتسىياتسىيە
ئانتىبىئوتىكلار	ئانتىبىيوتىكلار
ئاپتوبىئوگرافىك	ئاپتوبىيوگرافىك
خىرىستىئانچىلىق	خىرىستىيانچىلىق
دىئاگراممىلارغا	دىياگراممىلارغا
رادىئولاشتۇرماق	رادىيولاشتۇرماق
كرىستاللانمىغان	كىرىستاللانمىغان
پرولېتارىياتنىڭ	پىرولېتارىياتنىڭ
پروگراممىلىرىنى	پىروگراممىلىرىنى
ئېتىلېندىئامىن	ئېتىلېندىيامىن
بىئومېخانىكىسى	بىيومېخانىكىسى
خرىستىئانچىلىق	خىرىستىيانچىلىق
دىئالېكتىكىلىق	دىيالېكتىكىلىق
رادىئاتسىيىلىك	رادىياتسىيىلىك
رادىئوتېلېگراف	رادىيوتېلېگراف
رادىئولاشتۇرۇپ	رادىيولاشتۇرۇپ
رادىئوگراممىنى	رادىيوگراممىنى
سىتاخانوۋچىلىق	ئىستاخانوۋچىلىق
فىرازىئولوگىيە	فىرازىيولوگىيە
پرولېتارىياتچە	پىرولېتارىياتچە
پروگراممىسىنىڭ	پىروگراممىسىنىڭ
پروگراممىلارنى	پىروگراممىلارنى
پىرويېكسىيىلىك	پىرويېكسىيەلىك
ئاپتوبىئوگراف	ئاپتوبىيوگراف
ئىرراتسىئونال	ئىرراتسىيونال
ئىمپېرىئالىزم	ئىمپېرىيالىزم
ئىمپېرىئالىست	ئىمپېرىيالىست
بىئوخىمىيىلىك	بىيوخىمىيەلىك
بىئولوگىيەلىك	بىيولوگىيەلىك
بىيوخىمىيىلىك	بىيوخىمىيەلىك
تاۋابىياتلىرى	تاۋابىئاتلىرى
ترانسفورماتور	تىرانسفورماتور
ترانسفورموتور	تىرانسفورموتور
ترانسكرىپسىيە	تىرانسكرىپسىيە
تروتسىكىچىلىق	تىروتسىكىچىلىق
دىئالېكتىكىسى	دىيالېكتىكىسى
دىففېرېنسىئال	دىففېرېنسىيال
رادىئاتسىيەسى	رادىياتسىيەسى
رادىئوتېخنىكا	رادىيوتېخنىكا
رادىئوتېلېفون	رادىيوتېلېفون
رادىئولاردىكى	رادىيولاردىكى
رادىئوليارىيە	رادىيوليارىيە
ستاتىستىكىلىق	ئىستاتىستىكىلىق
ستاخانوۋچىلىق	ئىستاخانوۋچىلىق
ستىلىستىكىلىق	ئىستىلىستىكىلىق
سىتىخىيىچىلىك	ئىستىخىيەچىلىك
سىپېنسېرىزمچى	ئىسپېنسېرىزمچى
فرازىئولوگىيە	فىرازىيولوگىيە
كاردىئوگرامما	كاردىيوگرامما
كرىستاللاشقان	كىرىستاللاشقان
كرىستاللاشماق	كىرىستاللاشماق
كرىستاللانغان	كىرىستاللانغان
كرىستاللانماق	كىرىستاللانماق
مۇداپىيەلىنىش	مۇداپىئەلىنىش
پرويېكسىيىلىك	پىرويېكسىيەلىك
پروگراممىسىدا	پىروگراممىسىدا
پروگراممىسىغا	پىروگراممىسىغا
پروگراممىسىنى	پىروگراممىسىنى
پروگراممىلىرى	پىروگراممىلىرى
پرىنسىپلىرىغا	پىرىنسىپلىرىغا
پرىنسىپلىرىنى	پىرىنسىپلىرىنى
پىئونېرلاردەك	پىيونېرلاردەك
پىراۋۇسلاۋىيە	پىراۋوسلاۋىيە
گراژدانلارنىڭ	گىراژدانلارنىڭ
ئېتىئولوگىيە	ئېتىيولوگىيە
ئېموتسىئونال	ئېموتسىيونال
ئېنىتېلېفىئا	ئېنىتېلېفىيا
باكتېرىئوفاگ	باكتېرىيوفاگ
باكتېرىئولوگ	باكتېرىيولوگ
بىئولوگىيىسى	بىيولوگىيەسى
بىلىيارتخانا	بىليارتخانا
بىيولوگىيىسى	بىيولوگىيەسى
ترايېكتورىيە	تىرايېكتورىيە
خرېستوماتىيە	خىرېستوماتىيە
